,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
275,mouzakion,PE,1612591493,-4.5772,-81.2719,75.11,74,41,11.65
276,mouzakion,IN,1612591493,11.6667,92.75,83.03,64,0,12.1
277,mouzakion,SE,1612591290,63.1792,14.6357,7.0,85,40,5.75
278,mouzakion,MG,1612591494,-17.35,49.0333,84.92,57,85,2.06
279,mouzakion,RU,1612591494,49.758,129.523,-6.68,89,100,7.61
280,mouzakion,IN,1612591498,34.1667,77.5833,11.41,63,0,2.1
281,mouzakion,GL,1612591499,65.6145,-37.6368,24.8,63,20,10.36
282,mouzakion,BR,1612591499,-25.5478,-54.5881,62.6,100,0,1.14
283,mouzakion,KZ,1612591499,47.8043,67.7144,29.05,96,100,15.95
284,mouzakion,AU,1612591500,-15.7667,128.7333,95.0,49,32,10.36
285,mouzakion,GB,1612591500,57.5384,-2.4593,33.01,51,100,14.0
286,mouzakion,AU,1612591301,-20.7333,139.5,95.0,38,40,11.5
287,mouzakion,CV,1612591501,14.8961,-24.4956,68.74,76,6,16.2
288,mouzakion,AU,1612591502,-28.65,153.6167,84.2,69,63,11.5
289,mouzakion,US,1612591493,41.3712,-73.414,33.8,47,1,17.27
290,mouzakion,RE,1612591502,-21.15,55.2833,82.99,56,8,2.53
291,mouzakion,GL,1612591503,68.7098,-52.8699,7.7,81,100,13.67
292,mouzakion,BW,1612591504,-19.6667,22.2667,71.24,91,99,7.47
293,mouzakion,EG,1612591505,24.0934,32.907,59.18,55,0,12.59
294,mouzakion,BR,1612591506,-7.2597,-34.9075,75.2,94,20,2.3
295,mouzakion,HR,1612591506,45.4886,18.0878,43.0,88,98,5.21
296,mouzakion,RU,1612591507,65.5333,72.5167,-10.16,90,100,14.54
297,mouzakion,CA,1612591508,54.3161,-130.3201,33.8,100,90,5.75
298,mouzakion,TZ,1612591245,-6.8,39.25,77.0,94,75,5.68
299,mouzakion,SB,1612591509,-9.4333,159.95,82.4,79,95,7.4
300,mouzakion,MX,1612591509,27.9769,-114.0611,58.93,75,3,12.24
301,mouzakion,MV,1612591509,5.6667,73.0,82.04,74,66,13.13
302,mouzakion,NO,1612591510,61.9875,5.1352,24.8,63,0,9.22
303,mouzakion,AU,1612591511,-31.4333,152.9167,77.0,78,90,3.44
304,mouzakion,RU,1612591512,60.3725,93.0408,5.86,95,100,5.3
305,mouzakion,RU,1612591512,66.4167,112.4,-29.9,78,12,2.48
306,mouzakion,UY,1612591513,-33.6971,-53.4616,57.52,92,2,6.51
307,mouzakion,AO,1612591513,-8.8368,13.2343,78.8,83,75,4.61
308,mouzakion,JP,1612591514,43.3236,145.575,39.2,65,75,9.22
309,mouzakion,CN,1612591453,39.9392,116.0917,59.0,14,0,15.66
310,mouzakion,CF,1612591514,6.4926,17.4552,68.88,28,38,3.22
311,mouzakion,GT,1612591515,14.3,-91.9167,63.0,92,54,6.24
312,mouzakion,PG,1612591515,-9.0763,143.2092,90.45,61,99,6.13
313,mouzakion,EC,1612591516,-1.7,-77.9333,65.71,93,100,2.3
314,mouzakion,RU,1612591368,53.0452,158.6483,17.6,53,40,8.95
315,mouzakion,NZ,1612591516,-35.1667,173.1667,64.44,90,98,3.47
316,mouzakion,ES,1612591517,42.7762,-9.0603,50.0,78,95,5.01
317,mouzakion,ID,1612591308,-0.9492,100.3543,89.6,58,20,5.75
318,mouzakion,TZ,1612591518,-4.9667,39.8333,82.38,70,63,7.9
319,mouzakion,CN,1612591519,18.8003,110.3967,75.04,70,37,9.62
320,mouzakion,US,1612591519,60.5544,-151.2583,15.01,92,20,3.29
321,mouzakion,US,1612591520,38.421,-121.4238,48.2,76,1,3.44
322,mouzakion,US,1612591520,37.7799,-121.978,50.0,76,1,3.09
